State,County,Pop 2010,Pop 2011,Pop 2012,Pop 2013,Pop 2014,Pop 2015,Pop 2016,Pop 2017,Pop 2018,Pop 2019
Alaska,Prince of Wales-Hyder Census Area,5559,6373,6423,6446,6463,6508,6519,6444,6360,6203
Alaska,Sitka City and Borough,8881,8884,9017,8973,8838,8778,8736,8641,8554,8493
Alaska,Skagway Municipality,968,962,998,1026,1054,1088,1132,1167,1169,1183
Alaska,Southeast Fairbanks Census Area,7029,7150,7172,6986,6925,6812,6857,6892,6937,6893
Alaska,Valdez-Cordova Census Area,9636,9740,9734,9781,9478,9319,9314,9220,9161,9202
Alaska,Wrangell City and Borough,2369,2394,2420,2448,2441,2453,2496,2521,2538,2502
Alaska,Yakutat City and Borough,662,656,664,651,655,635,612,602,596,579
Alaska,Yukon-Koyukuk Census Area,5588,5629,5622,5560,5462,5465,5423,5409,5359,5230
Arizona,Arizona,6392017,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717
Arizona,Apache County,71518,72182,72229,72322,71796,71012,71381,71545,71731,71887
Arizona,Cochise County,131346,133097,132017,129578,127314,126454,125686,124864,126411,125922
Arizona,Coconino County,134421,134275,136146,136699,137566,138962,140407,141001,142523,143476
Arizona,Gila County,53597,53440,52994,53005,53044,52978,53356,53578,53801,54018
Arizona,Graham County,37220,37126,37015,37433,38099,37860,37807,37481,37995,38837
Arizona,Greenlee County,8437,8585,8764,8916,9349,9577,9643,9443,9448,9498
Arizona,La Paz County,20489,20604,20521,20522,20516,20466,20648,20706,21039,21108
Arizona,Maricopa County,3817117,3874996,3947505,4017723,4093648,4172905,4256143,4327184,4402403,4485414
Arizona,Mohave County,200186,202812,203347,203126,203423,204574,205412,207017,209292,212181
Arizona,Navajo County,107449,107552,107313,107135,107701,107638,108467,109079,110242,110924
Arizona,Pima County,980263,988381,993052,997127,1004229,1009103,1016707,1026391,1036554,1047279
Arizona,Pinal County,375770,378041,382251,385398,395322,405614,417193,431564,446806,462789
Arizona,Santa Cruz County,47420,47667,47359,46939,46636,46542,46400,46566,46395,46498
Arizona,Yavapai County,211033,211044,211990,214421,217716,220805,224575,228082,231772,235099
Arizona,Yuma County,195751,202841,202475,202420,204054,205186,207247,209507,211612,213787
Arkansas,Arkansas,2915918,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804
Arkansas,Arkansas County,19019,18871,18964,18755,18479,18330,18154,17872,17726,17486
Arkansas,Ashley County,21853,21673,21515,21278,20956,20838,20530,20311,20012,19657
Arkansas,Baxter County,41513,41349,41080,40983,40888,41138,41131,41308,41624,41932
Arkansas,Benton County,221339,229171,234938,239461,244841,251591,259212,266585,272266,279141
Arkansas,Boone County,36903,37086,37333,37328,37116,37119,37259,37459,37385,37432
Arkansas,Bradley County,11508,11432,11266,11120,11007,10999,10959,10813,10838,10763
Arkansas,Calhoun County,5368,5243,5278,5192,5167,5200,5143,5201,5227,5189
Arkansas,Carroll County,27446,27466,27623,27791,27734,27755,27728,27865,28097,28380
Arkansas,Chicot County,11800,11703,11498,11362,11211,10970,10899,10647,10442,10118
Arkansas,Clark County,22995,22928,22755,22582,22557,22513,22602,22184,22313,22320
Arkansas,Clay County,16083,15876,15710,15484,15299,15206,15060,14865,14763,14551
Arkansas,Cleburne County,25970,25875,25763,25625,25591,25355,25173,25059,24994,24919
Arkansas,Cleveland County,8689,8674,8609,8515,8399,8284,8245,8162,7995,7956
Arkansas,Columbia County,24552,24709,24413,24284,24049,24115,24026,23695,23586,23457
Arkansas,Conway County,21273,21128,21141,21088,20995,20936,20874,20810,20825,20846
Arkansas,Craighead County,96443,98405,99993,101653,102661,104457,105932,107188,108816,110332
Arkansas,Crawford County,61948,61796,61911,61667,61807,61904,62263,62894,63379,63257
Arkansas,Crittenden County,50902,50517,50077,49739,49536,49019,49306,48716,48363,47955
Arkansas,Cross County,17870,17809,17703,17521,17181,17255,17025,16792,16630,16419
Arkansas,Dallas County,8116,8056,7952,7892,7691,7530,7399,7307,7152,7009
Arkansas,Desha County,13008,12731,12590,12502,12270,12029,11905,11743,11507,11361
Arkansas,Drew County,18509,18735,18788,18686,18642,18613,18553,18370,18328,18219
Arkansas,Faulkner County,113237,116280,118523,119176,120562,121241,122206,123530,125138,126007
Arkansas,Franklin County,18125,18009,17959,17915,17828,17749,17655,17809,17764,17715
Arkansas,Fulton County,12245,12240,12169,12170,12081,12138,12099,12131,12308,12477
Arkansas,Garland County,96024,96854,96986,97654,97758,97814,98282,98327,98966,99386
Arkansas,Grant County,17853,17947,18038,18046,18074,18016,18064,18103,18180,18265
Arkansas,Greene County,42090,42763,43229,43160,43788,44300,44730,44993,45339,45325
Arkansas,Hempstead County,22609,22488,22344,22420,22326,22085,22032,21876,21685,21532
Arkansas,Hot Spring County,32923,33142,33507,33528,33409,33497,33438,33606,33672,33771
Arkansas,Howard County,13789,13816,13675,13543,13492,13336,13350,13365,13302,13202
Arkansas,Independence County,36647,36884,36953,36885,37080,37035,37117,37391,37768,37825
Arkansas,Izard County,13696,13572,13541,13411,13557,13487,13488,13666,13582,13629
Arkansas,Jackson County,17997,17887,17680,17729,17591,17365,17282,17017,16753,16719
Arkansas,Jefferson County,77435,76039,74634,73191,72458,71872,70407,69238,68067,66824
Arkansas,Johnson County,25540,25675,25914,25932,25969,26094,26127,26401,26659,26578
Arkansas,Lafayette County,7645,7536,7450,7284,7158,7010,6888,6797,6679,6624
Arkansas,Lawrence County,17415,17282,17040,17054,16969,16696,16639,16571,16432,16406
Arkansas,Lee County,10424,10291,10184,10010,9839,9672,9337,9127,8976,8857
Arkansas,Lincoln County,14134,14339,14180,14063,14025,13866,13728,13475,13184,13024
Arkansas,Little River County,13171,12945,12916,12733,12503,12402,12406,12373,12297,12259
Arkansas,Logan County,22353,22242,21928,22031,21866,21729,21732,21739,21673,21466
Arkansas,Lonoke County,68356,69529,70109,70742,71368,71359,71803,72778,73391,73309
Arkansas,Madison County,15717,15662,15597,15679,15731,15705,16112,16299,16362,16576
Arkansas,Marion County,16653,16671,16621,16444,16423,16215,16376,16429,16665,16694
Arkansas,Miller County,43462,43762,43663,43402,43458,43792,43713,43736,43362,43257
Arkansas,Mississippi County,46480,46031,45553,44695,44247,43729,42900,42112,41236,40651
Arkansas,Monroe County,8149,8099,7854,7690,7634,7452,7205,7013,6880,6701
Arkansas,Montgomery County,9487,9402,9340,9252,9162,9027,8936,8890,8910,8986
Arkansas,Nevada County,8997,9008,8909,8772,8645,8508,8378,8309,8308,8252
Arkansas,Newton County,8330,8251,8052,8042,7867,7846,7848,7815,7800,7753
Arkansas,Ouachita County,26120,25737,25398,24948,24761,24316,24013,23817,23620,23382
Arkansas,Perry County,10445,10383,10328,10335,10360,10307,10286,10346,10380,10455
Arkansas,Phillips County,21757,21406,20736,20437,19952,19546,19050,18599,18054,17782
Arkansas,Pike County,11291,11241,11254,11121,10989,10837,10826,10735,10666,10718
Arkansas,Poinsett County,24583,24449,24299,24187,24152,24002,23974,24071,23903,23528
Arkansas,Polk County,20662,20558,20420,20342,20249,20194,20145,20147,20019,19964
Arkansas,Pope County,61754,62687,62631,62588,63117,63608,63897,63634,63594,64072
Arkansas,Prairie County,8715,8599,8482,8375,8347,8299,8252,8248,8082,8062
Arkansas,Pulaski County,382748,386990,389225,391512,392952,393576,394151,393280,391918,391911
Arkansas,Randolph County,17969,17973,17840,17625,17569,17437,17444,17665,17970,17958
Arkansas,St. Francis County,28258,27994,27992,27508,27088,26651,26347,25997,25509,24994
Arkansas,Saline County,107118,109553,111442,113348,114874,116390,117656,119520,121074,122437
Arkansas,Scott County,11233,11264,11033,10934,10686,10561,10332,10369,10339,10281
Arkansas,Searcy County,8195,8078,8005,7991,7924,7835,7968,7927,7930,7881
Arkansas,Sebastian County,125744,127010,127571,127173,126733,127385,127385,127786,127570,127827
Arkansas,Sevier County,17058,17218,17188,17356,17410,17262,16971,17103,17061,17007
Arkansas,Sharp County,17264,17270,17034,17043,16820,16808,17007,17147,17290,17442
Arkansas,Stone County,12394,12500,12542,12423,12381,12386,12509,12520,12454,12506
Arkansas,Union County,41639,41402,40861,40604,40136,40086,39879,39460,39139,38682
Arkansas,Van Buren County,17295,17214,17162,16985,16907,16808,16669,16552,16635,16545
Arkansas,Washington County,203065,208051,211756,216000,219941,224434,228482,232732,236611,239187
Arkansas,White County,77076,78083,78641,78567,78471,78915,78917,78844,78381,78753
Arkansas,Woodruff County,7260,7164,7052,7018,6860,6706,6600,6575,6466,6320
Arkansas,Yell County,22185,21964,21824,21819,21768,21506,21502,21509,21462,21341
California,California,37253956,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223
California,Alameda County,1510271,1530915,1553764,1579593,1607792,1634538,1650950,1660196,1666756,1671329
California,Alpine County,1175,1093,1110,1128,1080,1077,1047,1111,1089,1129
California,Amador County,38091,37543,37104,36620,36726,37031,37429,38529,39405,39752
California,Butte County,220000,219975,220869,221641,223516,224631,226231,228696,230339,219186
California,Calaveras County,45578,45160,44815,44655,44671,44965,45322,45681,45698,45905
California,Colusa County,21419,21323,21284,21250,21176,21231,21496,21579,21418,21547
California,Contra Costa County,1049025,1065440,1077548,1093401,1108876,1124405,1137268,1145535,1150519,1153526
California,Del Norte County,28610,28443,28190,27816,27175,27190,27382,27351,27740,27812
California,El Dorado County,181058,180936,180575,181481,183108,184569,185976,188679,190746,192843
California,Fresno County,930450,939406,945045,951514,960567,969488,976830,985238,991950,999101
California,Glenn County,28122,28139,27851,27809,27831,27753,27840,27926,27967,28393
California,Humboldt County,134623,135243,134572,134403,134494,135102,136290,136507,136244,135558
California,Imperial County,174528,175786,176575,176438,177974,178937,180179,181649,181523,181215
California,Inyo County,18546,18392,18351,18357,18292,18108,17922,17868,17946,18039
California,Kern County,839631,847970,853606,862000,869176,876031,880856,887356,893758,900202
California,Kings County,152982,151868,150991,150337,149495,150085,149382,149665,151382,152940
California,Lake County,64665,64251,63954,63796,64044,64260,63903,64111,64317,64386
California,Lassen County,34895,34246,33629,32129,31664,31256,30721,30920,30618,30573
California,Los Angeles County,9818605,9876482,9935375,9992484,10040072,10085416,10105708,10103711,10073906,10039107
California,Madera County,150865,151675,151527,151370,153456,153576,153956,155423,156882,157327
California,Marin County,252409,255376,256061,258409,260359,260916,260562,259749,259662,258826
California,Mariposa County,18251,18170,17881,17809,17714,17622,17456,17414,17405,17203
California,Mendocino County,87841,87334,87288,87054,87225,87107,87285,87576,87401,86749
California,Merced County,255793,259297,260867,262026,264419,266353,267628,271096,274151,277680
California,Modoc County,9686,9509,9351,9145,9068,9056,8961,8876,8800,8841
California,Mono County,14202,14422,14331,14067,14134,14077,14273,14354,14403,14444
California,Monterey County,415057,420456,424788,426712,428475,430552,433953,434534,433950,434061
California,Napa County,136484,137691,138538,139580,140405,140862,140840,139878,138789,137744
California,Nevada County,98764,98701,98137,97938,98572,98676,98913,99367,99508,99755
California,Orange County,3010232,3049271,3078068,3104950,3126537,3149280,3164986,3174289,3175973,3175692
California,Placer County,348432,356328,360263,365398,369217,372841,378943,385115,392330,398329
California,Plumas County,20007,19719,19377,18895,18622,18427,18665,18660,18741,18807
California,Riverside County,2189641,2234070,2261204,2286755,2316162,2345816,2380081,2414964,2445789,2470546
California,Sacramento County,1418788,1433730,1444852,1457341,1474917,1493674,1510987,1527301,1538746,1552058
California,San Benito County,55269,55977,56599,57239,57825,58216,59225,60164,61467,62808
California,San Bernardino County,2035210,2060827,2073512,2082738,2099181,2115411,2131960,2150945,2166753,2180085
California,San Diego County,3095313,3137156,3174335,3209768,3248877,3280850,3306089,3321237,3333861,3338330
California,San Francisco County,805235,815650,828876,839572,850750,863010,871512,878040,880696,881549
California,San Joaquin County,685306,694354,699593,702046,711579,722271,732809,743296,752491,762148
California,San Luis Obispo County,269637,271058,274160,275696,278227,280077,281803,282481,283354,283111
California,San Mateo County,718451,728344,739224,748661,757204,765055,767906,768901,768681,766573
California,Santa Barbara County,423895,425453,429699,434601,439045,442229,444340,445298,445780,446499
California,Santa Clara County,1781642,1812054,1837853,1866425,1891753,1916285,1928368,1932510,1932337,1927852
California,Santa Cruz County,262382,264858,266340,268816,270861,273503,274396,274856,273841,273213
California,Shasta County,177223,177588,177875,178397,178844,178314,178571,179384,179709,180080
California,Sierra County,3240,3098,3067,3028,2972,2985,2951,3002,2997,3005
California,Siskiyou County,44900,44615,44079,43532,43338,43254,43376,43622,43550,43539
California,Solano County,413344,416342,419674,423659,429006,433409,438858,443511,445725,447643
California,Sonoma County,483878,487421,489993,494073,498560,500863,502547,502469,498643,494336
California,Stanislaus County,514453,517560,520424,523451,528015,533211,539255,544717,548126,550660
California,Sutter County,94737,94482,94189,94507,94778,95282,95742,96204,96348,96971
California,Tehama County,63463,63331,63212,62875,62801,63158,63453,63847,64018,65084
California,Trinity County,13786,13685,13489,13427,13128,13094,12828,12726,12567,12285
California,Tulare County,442179,446784,449779,452460,455138,457161,459235,462308,464589,466195
California,Tuolumne County,55365,54830,54221,53997,53851,53615,53770,53976,54387,54478
California,Ventura County,823318,830099,833516,838136,842297,845802,847323,849044,848142,846006
California,Yolo County,200849,201954,204576,206292,208398,212037,215627,218477,220118,220500
California,Yuba County,72155,72489,72774,73090,73533,74045,74952,76578,77557,78668
Colorado,Colorado,5029196,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736
Colorado,Adams County,441603,452201,460558,469978,479946,490443,497734,503590,511354,517421
Colorado,Alamosa County,15445,15709,15680,15787,15803,15894,16053,16108,16248,16233
Colorado,Arapahoe County,572003,585968,596500,608467,619034,630984,638950,644478,651797,656590
Colorado,Archuleta County,12084,12021,12132,12216,12231,12387,12825,13295,13730,14029
Colorado,Baca County,3788,3778,3722,3656,3587,3555,3530,3554,3584,3581
Colorado,Bent County,6499,6424,5848,5761,5820,5889,5833,5827,5808,5577
Colorado,Boulder County,294567,299957,304570,309323,312233,318027,321250,322441,324636,326196
Colorado,Broomfield County,55889,57493,58971,60149,61764,64866,66513,68263,69324,70465
Colorado,Chaffee County,17809,18028,18154,18355,18451,18612,19110,19666,20041,20356
Colorado,Cheyenne County,1836,1863,1872,1879,1846,1827,1850,1853,1859,1831
Colorado,Clear Creek County,9088,9011,9018,9024,9124,9244,9353,9574,9604,9700
Colorado,Conejos County,8256,8290,8248,8199,8230,8065,8050,8139,8181,8205
Colorado,Costilla County,3524,3641,3603,3541,3561,3576,3693,3756,3812,3887
Colorado,Crowley County,5823,5882,5467,5346,5609,5628,5285,5840,5957,6061
Colorado,Custer County,4255,4225,4219,4261,4340,4434,4588,4857,4934,5068
Colorado,Delta County,30952,30393,30465,30338,29963,29913,30346,30519,30884,31162
Colorado,Denver County,600158,620530,635163,649391,664582,683285,696159,704961,716265,727211
Colorado,Dolores County,2064,2044,2009,2033,1977,1981,2056,2045,2060,2055
Colorado,Douglas County,285465,292548,298708,306234,314545,322025,328219,335816,342989,351154
Colorado,Eagle County,52197,52051,52334,52816,53276,53865,54541,54929,54943,55127
Colorado,Elbert County,23086,23178,23274,23541,24031,24630,25157,25765,26303,26729
Colorado,El Paso County,622263,637305,646003,655209,663129,674001,688277,700099,712089,720403
Colorado,Fremont County,46824,47379,47052,46332,46147,46282,46976,47548,47959,47839
Colorado,Garfield County,56389,56048,56761,56938,57161,57698,58785,59032,59701,60061
Colorado,Gilpin County,5441,5428,5431,5530,5747,5805,5914,6018,6112,6243
Colorado,Grand County,14843,14563,14221,14312,14559,14726,15179,15364,15511,15734
Colorado,Gunnison County,15324,15261,15378,15575,15765,16104,16414,16863,17167,17462
Colorado,Hinsdale County,843,825,802,804,773,764,788,791,808,820
Colorado,Huerfano County,6711,6528,6565,6460,6393,6404,6580,6628,6887,6897
Colorado,Jackson County,1394,1357,1325,1336,1385,1353,1358,1375,1395,1392
Colorado,Jefferson County,534543,540506,546602,552031,558819,564888,571413,575417,579392,582881
Colorado,Kiowa County,1398,1431,1409,1392,1380,1384,1342,1365,1379,1406
Colorado,Kit Carson County,8270,8172,8072,8245,8018,8215,7626,7137,7159,7097
Colorado,Lake County,7310,7343,7253,7263,7317,7442,7590,7750,7846,8127
Colorado,La Plata County,51334,51866,52451,53368,53865,54687,55316,55563,56299,56221
Colorado,Larimer County,299630,305246,310842,316225,324008,333303,338984,344084,350660,356899
Colorado,Las Animas County,15507,15053,14992,14396,14048,14043,14073,14201,14508,14506
Colorado,Lincoln County,5467,5419,5440,5435,5501,5543,5551,5523,5606,5701
Colorado,Logan County,22709,22577,22356,22174,22440,22472,22435,22317,22268,22409
Colorado,Mesa County,146723,147174,147317,147175,147113,148025,149736,151170,152951,154210
Colorado,Mineral County,712,711,719,732,704,744,756,753,772,769
Colorado,Moffat County,13795,13423,13171,13126,12934,12939,13144,13088,13183,13283
Colorado,Montezuma County,25535,25476,25476,25542,25514,25716,25994,26112,26152,26183
Colorado,Montrose County,41276,40974,40650,40549,40585,40562,41151,41753,42206,42758
Colorado,Morgan County,28159,28452,28248,28223,28103,28252,28199,28295,28769,29068
Colorado,Otero County,18831,18839,18634,18452,18336,18182,18266,18345,18338,18278
Colorado,Ouray County,4436,4423,4507,4552,4574,4608,4789,4813,4822,4952
Colorado,Park County,16206,16055,16049,16184,16381,16726,17343,17894,18525,18845
Colorado,Phillips County,4442,4401,4417,4383,4392,4327,4280,4288,4285,4265
Colorado,Pitkin County,17148,17169,17292,17460,17712,17940,17975,17973,17976,17767
Colorado,Prowers County,12551,12502,12421,12317,12062,11936,11926,11998,12079,12172
Colorado,Pueblo County,159063,160184,160721,161033,161356,163006,164774,166283,167422,168424
Colorado,Rio Blanco County,6666,6747,6758,6693,6595,6478,6436,6352,6330,6324
Colorado,Rio Grande County,11982,11913,11866,11676,11504,11352,11337,11297,11271,11267
Colorado,Routt County,23509,23252,23272,23599,24067,24360,24682,25171,25507,25638
Colorado,Saguache County,6108,6188,6333,6242,6198,6253,6412,6633,6840,6824
Colorado,San Juan County,699,690,692,692,712,689,691,712,764,728
Colorado,San Miguel County,7359,7487,7581,7621,7738,7836,8017,8034,8180,8179
Colorado,Sedgwick County,2379,2372,2378,2340,2334,2373,2400,2311,2276,2248
Colorado,Summit County,27994,28042,28298,28728,29317,30045,30552,30820,30817,31011
Colorado,Teller County,23350,23369,23445,23356,23433,23388,24058,24674,25113,25388
Colorado,Washington County,4814,4762,4701,4743,4733,4786,4834,4921,4888,4908
Colorado,Weld County,252825,258827,264131,270165,277112,285819,295712,305885,314815,324492
Colorado,Yuma County,10043,10134,10100,10132,10184,10037,10055,9959,9947,10019
Connecticut,Connecticut,3574097,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287
Connecticut,Fairfield County,916829,928000,935099,939924,944196,944943,944347,943038,943971,943332
Connecticut,Hartford County,894014,896864,897706,897678,897407,896290,894141,893076,892580,891720
Connecticut,Litchfield County,189927,188972,187570,186836,185343,184122,182793,181667,181095,180333
Connecticut,Middlesex County,165676,166174,165634,165329,164786,163724,163292,162942,162870,162436
Connecticut,New Haven County,862477,863871,864566,862820,862885,860186,857901,857748,856971,854757
Connecticut,New London County,274055,273037,274091,272976,271462,269636,268403,267419,266285,265206
Connecticut,Tolland County,152691,153050,151967,151778,151693,151734,151162,151009,150689,150721
Connecticut,Windham County,118428,118315,117914,117500,116752,116487,116102,116398,117059,116782
Delaware,Delaware,897934,907381,915179,923576,932487,941252,948921,956823,965479,973764
Delaware,Kent County,162310,165110,167297,169038,171456,173128,174542,176499,178540,180786
Delaware,New Castle County,538479,541909,544848,548331,550768,553488,555058,555976,557550,558753
Delaware,Sussex County,197145,200362,203034,206207,210263,214636,219321,224348,229389,234225
District of Columbia,District of Columbia,601723,619800,634924,650581,662328,675400,685815,694906,701547,705749
District of Columbia,District of Columbia,601723,619800,634924,650581,662328,675400,685815,694906,701547,705749
Florida,Florida,18801310,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737
Florida,Alachua County,247336,249834,251520,252475,255456,259052,263959,266309,268851,269043
Florida,Baker County,27115,27049,27053,27009,27122,27355,27884,28254,28353,29210
