State,County,Year,Population,Unemployment Rate,2019 Median Income
TX,Concho County,2000,"3,963",5.6,
TX,Cooke County,2000,"36,433",3.6,
TX,Coryell County,2000,"75,199",5.3,
TX,Cottle County,2000,"1,883",4.3,
TX,Crane County,2000,"3,951",5.3,
TX,Crockett County,2000,"4,012",4.6,
TX,Crosby County,2000,"7,053",4.5,
TX,Culberson County,2000,"2,948",5.6,
TX,Dallam County,2000,"6,224",3.3,
TX,Dallas County,2000,"2,220,848",8,
TX,Dawson County,2000,"14,935",2.7,
TX,Deaf Smith County,2000,"18,515",4.8,
TX,Delta County,2000,"5,323",3.7,
TX,Denton County,2000,"438,791",2.8,
TX,DeWitt County,2000,"19,943",4.3,
TX,Dickens County,2000,"2,724",5.1,
TX,Dimmit County,2000,"10,160",8.6,
TX,Donley County,2000,"3,813",4.1,
TX,Duval County,2000,"13,007",3.3,
TX,Eastland County,2000,"18,296",4.7,
TX,Ector County,2000,"120,694",5.3,
TX,Edwards County,2000,"2,143",4.9,
TX,Ellis County,2000,"112,330",2.6,
TX,El Paso County,2000,"681,729",2.9,
TX,Erath County,2000,"33,057",3.6,
TX,Falls County,2000,"18,522",5.4,
TX,Fannin County,2000,"31,334",3.9,
TX,Fayette County,2000,"21,864",5.8,
TX,Fisher County,2000,"4,340",3.8,
TX,Floyd County,2000,"7,734",3.9,
TX,Foard County,2000,"1,594",3.8,
TX,Fort Bend County,2000,"358,738",3.5,
TX,Franklin County,2000,"9,459",6.5,
TX,Freestone County,2000,"17,902",5,
TX,Frio County,2000,"16,203",6,
TX,Gaines County,2000,"14,473",4.3,
TX,Galveston County,2000,"250,675",4.8,
TX,Garza County,2000,"4,904",4.3,
TX,Gillespie County,2000,"20,902",3.8,
TX,Glasscock County,2000,"1,407",3,
TX,Goliad County,2000,"7,007",3.8,
TX,Gonzales County,2000,"18,642",3.4,
TX,Gray County,2000,"22,578",2.6,
TX,Grayson County,2000,"110,939",5.1,
TX,Gregg County,2000,"111,255",5.4,
TX,Grimes County,2000,"23,601",5.3,
TX,Guadalupe County,2000,"89,841",7.2,
TX,Hale County,2000,"36,581",6,
TX,Hall County,2000,"3,749",3,
TX,Hamilton County,2000,"8,239",5.3,
TX,Hansford County,2000,"5,347",2.9,
TX,Hardeman County,2000,"4,718",5,
TX,Hardin County,2000,"48,162",6.2,
TX,Harris County,2000,"3,414,239",3.2,
TX,Harrison County,2000,"62,040",3.4,
TX,Hartley County,2000,"5,561",3.1,
TX,Haskell County,2000,"6,062",2.3,
TX,Hays County,2000,"99,267",3.2,
TX,Hemphill County,2000,"3,335",2.9,
TX,Henderson County,2000,"73,332",3.8,
TX,Hidalgo County,2000,"573,216",6.8,
TX,Hill County,2000,"32,539",5.1,
TX,Hockley County,2000,"22,670",4,
TX,Hood County,2000,"41,323",3.9,
TX,Hopkins County,2000,"31,999",5.4,
TX,Houston County,2000,"23,135",4.4,
TX,Howard County,2000,"33,489",4.3,
TX,Hudspeth County,2000,"3,357",4.5,
TX,Hunt County,2000,"76,932",4.2,
TX,Hutchinson County,2000,"23,778",2.5,
TX,Irion County,2000,"1,758",3.2,
TX,Jack County,2000,"8,752",4.2,
TX,Jackson County,2000,"14,397",5.2,
TX,Jasper County,2000,"35,552",3.3,
TX,Jeff Davis County,2000,"2,233",4.7,
TX,Jefferson County,2000,"251,667",4,
TX,Jim Hogg County,2000,"5,275",5.9,
TX,Jim Wells County,2000,"39,361",5.9,
TX,Johnson County,2000,"127,627",4.2,
TX,Jones County,2000,"20,754",3.9,
TX,Karnes County,2000,"15,403",5.3,
TX,Kaufman County,2000,"72,270",4,
TX,Kendall County,2000,"23,980",3.3,
TX,Kenedy County,2000,420,3.4,
TX,Kent County,2000,833,4,
TX,Kerr County,2000,"43,848",3.8,
TX,Kimble County,2000,"4,484",3.5,
TX,King County,2000,358,3.3,
TX,Kinney County,2000,"3,387",7.4,
TX,Kleberg County,2000,"31,590",5,
TX,Knox County,2000,"4,253",4.5,
TX,Lamar County,2000,"48,596",6.9,
TX,Lamb County,2000,"14,663",4.9,
TX,Lampasas County,2000,"17,900",3.8,
TX,La Salle County,2000,"5,898",7,
TX,Lavaca County,2000,"19,190",3.1,
TX,Lee County,2000,"15,701",4,
TX,Leon County,2000,"15,395",3.1,
TX,Liberty County,2000,"70,576",4.2,
TX,Limestone County,2000,"22,053",3.8,
TX,Lipscomb County,2000,"3,025",3.4,
TX,Live Oak County,2000,"12,233",4.5,
TX,Llano County,2000,"17,077",4.2,
TX,Loving County,2000,65,8.2,
TX,Lubbock County,2000,"243,109",3.5,
TX,Lynn County,2000,"6,489",4,
TX,McCulloch County,2000,"8,175",5.2,
TX,McLennan County,2000,"213,967",4.1,
TX,McMullen County,2000,843,4,
TX,Madison County,2000,"12,967",3.5,
TX,Marion County,2000,"10,950",6.7,
TX,Martin County,2000,"4,720",4.2,
TX,Mason County,2000,"3,734",5.4,
TX,Matagorda County,2000,"37,873",6.6,
TX,Maverick County,2000,"47,343",14.8,
TX,Medina County,2000,"39,484",2.3,
TX,Menard County,2000,"2,342",3.3,
TX,Midland County,2000,"115,560",3.3,
TX,Milam County,2000,"24,290",3.7,
TX,Mills County,2000,"5,107",2,
TX,Mitchell County,2000,"9,628",5.2,
TX,Montague County,2000,"19,166",4.7,
TX,Montgomery County,2000,"297,296",4.2,
TX,Moore County,2000,"20,121",3.6,
TX,Morris County,2000,"13,027",3.5,
TX,Motley County,2000,"1,435",3.4,
TX,Nacogdoches County,2000,"59,224",4.3,
TX,Navarro County,2000,"45,202",4.9,
TX,Newton County,2000,"15,038",4.3,
TX,Nolan County,2000,"15,947",4.8,
TX,Nueces County,2000,"313,673",5.2,
TX,Ochiltree County,2000,"8,988",3.1,
TX,Oldham County,2000,"2,186",3,
TX,Orange County,2000,"84,930",3.5,
TX,Palo Pinto County,2000,"27,074",4.1,
TX,Panola County,2000,"22,764",6.9,
TX,Parker County,2000,"89,159",3.5,
TX,Parmer County,2000,"9,991",3.4,
TX,Pecos County,2000,"16,667",5,
TX,Polk County,2000,"41,539",4.1,
TX,Potter County,2000,"113,762",4.5,
TX,Presidio County,2000,"7,355",16.4,
TX,Rains County,2000,"9,196",3.9,
TX,Randall County,2000,"104,609",2.5,
TX,Reagan County,2000,"3,290",3.4,
TX,Real County,2000,"3,067",4.4,
TX,Red River County,2000,"14,297",4.8,
TX,Reeves County,2000,"13,115",8.7,
TX,Refugio County,2000,"7,827",4.2,
TX,Roberts County,2000,884,3.8,
TX,Robertson County,2000,"16,062",4.4,
TX,Rockwall County,2000,"43,755",3,
TX,Runnels County,2000,"11,458",4.7,
TX,Rusk County,2000,"47,456",4.9,
TX,Sabine County,2000,"10,388",8.4,
TX,San Augustine County,2000,"8,959",5.2,
TX,San Jacinto County,2000,"22,549",4.6,
TX,San Patricio County,2000,"67,333",5.8,
TX,San Saba County,2000,"6,268",4.2,
TX,Schleicher County,2000,"2,929",3.7,
TX,Scurry County,2000,"16,251",4.8,
TX,Shackelford County,2000,"3,297",3.4,
TX,Shelby County,2000,"25,212",2.7,
TX,Sherman County,2000,"3,181",2.7,
TX,Smith County,2000,"175,658",2.7,
TX,Somervell County,2000,"6,940",4.1,
TX,Starr County,2000,"53,733",16.6,
TX,Stephens County,2000,"9,636",3.6,
TX,Sterling County,2000,"1,358",3.3,
TX,Stonewall County,2000,"1,664",4.3,
TX,Sutton County,2000,"4,024",3.8,
TX,Swisher County,2000,"8,341",4,
TX,Tarrant County,2000,"1,456,919",3.5,
TX,Taylor County,2000,"126,649",4.9,
TX,Terrell County,2000,"1,059",5.3,
TX,Terry County,2000,"12,705",4.9,
TX,Throckmorton County,2000,"1,831",3.4,
TX,Titus County,2000,"28,138",4.4,
TX,Tom Green County,2000,"104,083",3.9,
TX,Travis County,2000,"819,692",3,
TX,Trinity County,2000,"13,793",9.8,
TX,Tyler County,2000,"20,854",6.7,
TX,Upshur County,2000,"35,402",4.8,
TX,Upton County,2000,"3,376",4.8,
TX,Uvalde County,2000,"25,900",5.7,
TX,Val Verde County,2000,"45,020",6.2,
TX,Van Zandt County,2000,"48,324",3.9,
TX,Victoria County,2000,"83,937",3.7,
TX,Walker County,2000,"61,768",5.8,
TX,Waller County,2000,"32,843",4.4,
TX,Ward County,2000,"10,808",3.2,
TX,Washington County,2000,"30,423",6.8,
TX,Webb County,2000,"194,576",6,
TX,Wharton County,2000,"41,220",4.3,
TX,Wheeler County,2000,"5,253",6.3,
TX,Wichita County,2000,"131,817",2.8,
TX,Wilbarger County,2000,"14,613",3.7,
TX,Willacy County,2000,"20,076",9.8,
TX,Williamson County,2000,"255,379",5.7,
TX,Wilson County,2000,"32,721",3.8,
TX,Winkler County,2000,"7,083",5.7,
TX,Wise County,2000,"49,373",3.4,
TX,Wood County,2000,"36,811",3.7,
TX,Yoakum County,2000,"7,274",5.2,
TX,Young County,2000,"17,846",4.9,
TX,Zapata County,2000,"12,088",8,
TX,Zavala County,2000,"11,636",12.3,
OR,Baker County,2000,"16,714",3,
OR,Benton County,2000,"78,236",2.8,
OR,Clackamas County,2000,"339,223",4,
OR,Clatsop County,2000,"35,560",5,
