,State,County,Wind Farm Name,Year,Turbine Count,WF Total MW,Turbine Manufacturer,Turbine Model,Turbine Hub Height,Rotor Diameter,lng,lat,Duplicated
6291,ND,Stark County,Brady Wind I,2016.0,87,149.73,GE Wind,GE1.715-103,80.0,103.0,-102.63613,46.68509,False
6379,ND,Hettinger County,Brady Wind II,2016.0,72,149.03,GE Wind,GE2.0-116,80.0,116.0,-102.83884,46.62725,False
6451,NM,Curry County,"Brahms Wind, LLC",2014.0,12,19.8,Vestas,V82-1.65,80.0,82.0,-103.26877,34.74783,False
6463,TX,Scurry County,Brazos Wind Ranch,2003.0,160,160.0,Mitsubishi,MWT62/1.0,69.0,61.4,-101.09876,32.93903,False
6624,OK,Garfield County,Breckinridge,2015.0,57,98.1,GE Wind,GE1.7-103,80.0,103.0,-97.62734,36.44956,False
6681,IL,McLean County,Bright Stalk,2019.0,57,205.2,Vestas,V136-3.6,99.0,136.0,-88.66276,40.71753,False
6739,TX,Briscoe County,Briscoe,2015.0,81,150.0,GE Wind,GE1.85-87,80.0,87.0,-101.30242,34.37063,False
6821,IL,Douglas County,Broadlands,2020.0,228,496.4,Vestas,V150-4.3,105.0,150.0,-88.03143,39.82434,False
6869,TX,Deaf Smith County,Broadview Energy JN LLC,2017.0,36,82.8,Siemens,SWT-2.3-108,80.0,108.0,-102.93607,34.83205,False
6948,NM,Curry County,Broadview Energy KW LLC,2017.0,62,142.6,Siemens,SWT-2.3-108,80.0,108.0,-103.11195,34.74996,False
7010,NE,Custer County,Broken Bow I,2012.0,50,80.0,GE Wind,GE1.6-82.5,80.0,82.5,-99.61089,41.50749,False
7060,NE,Custer County,Broken Bow II,2014.0,43,75.0,GE Wind,GE1.7-100,80.0,100.0,-99.5533,41.5184,False
7103,CO,Kit Carson County,Bronco Plains,2020.0,108,299.36,GE Wind,GE2.82-127,89.0,127.0,-102.94419,39.04627,False
7213,CA,Kern County,Brookfield Tehachapi 1 (CCDLP),2012.0,34,102.0,Vestas,V90-3.0,80.0,90.0,-118.33479,35.0644,False
7239,CA,Kern County,Brookfield Tehachapi 2,2012.0,7,21.0,Vestas,V90-3.0,80.0,90.0,-118.24449,35.0452,False
7247,CA,Kern County,Brookfield Tehachapi 3,2004.0,9,13.5,GE Wind,GE 1.5-70.5,65.0,70.5,-118.32202,35.05753,False
7248,MI,Huron County,Brookfield Wind Park,2014.0,44,74.8,GE Wind,GE1.7-100,80.0,100.0,-83.24809,43.74199,False
7292,IL,Brown County,Brown County Wind Turbine,2011.0,1,1.5,Vensys,1.5_74,85.0,74.0,-90.69939,39.97349,False
7293,TX,Willacy County,Bruenning's Breeze,2017.0,76,228.0,Nordex,AW125/3000,87.5,125.0,-97.63162,26.52479,False
7369,SD,Brule County,Brule County Wind,2018.0,9,20.7,GE Wind,GE2.3-116,80.0,116.0,-98.91724,43.72578,False
7378,KS,Ellis County,Buckeye,2015.0,112,200.0,GE Wind,GE1.79-100,80.0,100.0,-99.48023,39.01762,False
7490,TX,Erath County,Buckthorn,2017.0,29,100.05,Vestas,V126-3.45,87.0,126.0,-98.3641,32.34509,False
7519,CA,Contra Costa County,Buena Vista,2006.0,38,38.0,Mitsubishi,MWT62/1.0,55.0,61.4,-121.65459,37.8036,False
7556,OK,Harper County,Buffalo Bear,2008.0,9,18.9,Suzlon,S88,79.0,88.0,-99.64089,36.7777,False
7565,KS,Grant County,Buffalo Dunes,2013.0,135,249.75,GE Wind,GE1.85-87,80.0,87.0,-101.10209,37.64399,False
7701,TX,Nolan County,Buffalo Gap 2,2007.0,155,232.5,GE Wind,GE1.5-77,80.0,77.0,-100.20339,32.33999,False
7858,TX,Nolan County,Buffalo Gap 3,2008.0,74,170.2,Siemens,SWT-2.3-93,80.0,93.0,-100.17659,32.2868,False
7932,TX,Taylor County,Buffalo Gap Wind Farm,2005.0,67,120.6,Vestas,V80-1.8,78.0,80.0,-100.09148,32.31256,False
7996,TN,Anderson County,Buffalo Mountain,2004.0,15,27.0,Vestas,V80-1.8,80.0,80.0,-84.3583,36.13459,False
8011,TN,Anderson County,Buffalo Mountain (Windrock),2000.0,3,1.98,Vestas,V47-0.66,65.0,47.0,-84.3391,36.1219,False
8014,SD,Brookings County,Buffalo Ridge,2009.0,24,50.4,Suzlon,S88,79.0,88.0,-96.49489,44.41909,False
8038,SD,Deuel County,Buffalo Ridge II,2010.0,105,210.0,Gamesa,G87-2.0,78.0,87.0,-96.67149,44.55409,False
8145,TX,Borden County,Bull Creek,2008.0,180,180.0,Mitsubishi,MWT62/1.0,69.0,61.4,-101.5902,32.93409,False
8325,ME,Hancock County,Bull Hill,2012.0,19,34.2,Vestas,V100-1.8,95.0,100.0,-68.1747,44.72569,False
8344,IA,Adair County,Bulldog,2010.0,1,1.5,GE Wind,GE1.5-77,80.0,77.0,-94.44049,41.22569,False
8345,IA,Buchanan County,Burco Farm & Feed,2010.0,1,0.1,Northern Power Systems,NPS-100,,,-91.88751,42.56381,False
8346,IL,Bureau County,Bureau Valley School District,2004.0,1,0.66,Vestas,V47-0.66,66.0,47.0,-89.67819,41.45339,False
8347,ID,Cassia County,Burley Butte,2011.0,13,19.5,GE Wind,GE1.5-82.5,80.0,82.5,-113.92569,42.48789,False
8360,CO,Huerfano County,Busch Ranch,2012.0,16,28.8,Vestas,V100-1.8,80.0,100.0,-104.48749,37.7958,False
8376,CO,Las Animas County,Busch Ranch II,2019.0,27,59.4,Vestas,V120-2.2,80.0,120.0,-104.38289,37.76114,False
8403,WI,Dodge County,Butler Ridge,2009.0,36,54.0,GE Wind,GE1.5-82.5,80.0,82.5,-88.47769,43.40229,False
8440,OH,Franklin County,Byers Auto,2010.0,1,0.1,Northern Power Systems,NPS-100,,,-83.08231,40.11075,False
8441,IA,Winnebago County,CR Holland Crane Service,2017.0,1,0.1,Northern Power Systems,NPS-100,37.0,24.0,-93.63378,43.27931,False
8442,CA,Riverside County,Cabazon,2002.0,62,40.92,Vestas,V47-0.66,65.0,47.0,-116.72929,33.9166,False
8505,TX,Concho County,Cactus Flats,2018.0,43,148.35,Vestas,V126-3.45,87.0,126.0,-99.97665,31.10938,False
8548,IL,Vermilion County,California Ridge,2012.0,134,217.08,GE Wind,GE1.62-100,100.0,100.0,-87.8654,40.18419,False
8686,CA,Los Angeles County,California State Prison Los Angeles County,2017.0,1,1.85,GE Wind,GE1.85-82.5,80.0,82.5,-118.2216,34.69198,False
8687,TX,Taylor County,Callahan Divide,2005.0,76,114.0,GE Wind,GE1.5-87,80.0,87.0,-100.02873,32.30754,False
8765,MA,Plymouth County,Camelot Wind Project,2012.0,1,1.5,Goldwind,GW82,70.0,82.0,-70.6443,41.92549,False
8766,TX,Cameron County,Cameron,2015.0,55,165.0,Acciona,AW125/3000,87.5,125.0,-97.52483,26.18819,False
8821,IL,Marshall County,Camp Grove,2007.0,100,150.0,GE Wind,GE1.5-77,80.0,77.0,-89.6003,41.05979,False
8921,ID,Elmore County,Camp Reed,2010.0,15,22.5,GE Wind,GE1.5-82.5,80.0,82.5,-115.06479,42.8173,False
8936,TX,Scurry County,Camp Springs,2007.0,87,130.5,GE Wind,GE1.5-77,80.0,77.0,-100.82989,32.75599,False
9023,TX,Scurry County,Camp Springs II,2007.0,21,31.5,GE Wind,GE1.5-77,80.0,77.0,-100.90749,32.80489,False
9104,UT,Utah County,Camp Williams,2005.0,1,0.66,Vestas,V47-0.66,50.0,47.0,-111.91928,40.4396,False
9106,SD,Campbell County,Campbell County,2015.0,55,95.0,GE Wind,GE1.7-103,80.0,103.0,-100.28356,45.81327,False
9163,WY,Converse County,Campbell Hill,2009.0,66,99.0,GE Wind,GE1.5-77,80.0,77.0,-106.02099,42.99929,False
9231,TX,Oldham County,Canadian Breaks,2019.0,87,200.1,Siemens,SWT-2.3-108,80.0,108.0,-102.31234,35.21755,False
9316,OK,Canadian County,Canadian Hills,2012.0,135,298.45,Mitsubishi,MWT102/2.4,80.0,102.0,-98.09819,35.64629,False
9451,KS,Elk County,Caney River,2011.0,111,199.8,Vestas,V90-1.8,80.0,90.0,-96.41689,37.43329,False
9562,IA,Bremer County,Cannon 1,2009.0,1,0.95,EWT,DW-54-900,75.0,54.0,-92.3689,42.73275,False
9563,IA,Bremer County,Cannon II,2012.0,1,0.9,EWT,DW-54-900,75.0,54.0,-92.3681,42.73549,False
9564,ME,Oxford County,Canton Mountain,2017.0,8,22.8,GE Wind,GE2.85-103,85.0,103.0,-70.30089,44.52094,False
