County,Year,Cumulative Capacity of Wind Farm (in MW),Wind Farm Name,Duplicated
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2018.0,29.17,Arbor Hill,True
Adair County,2020.0,60.4,Arbor Hill 2019,False
Adair County,2020.0,60.4,Arbor Hill 2019,True
Adair County,2020.0,60.4,Arbor Hill 2019,True
Adair County,2020.0,60.4,Arbor Hill 2019,True
Adair County,2020.0,60.4,Arbor Hill 2019,True
Adair County,2020.0,60.4,Arbor Hill 2019,True
Adair County,2020.0,60.4,Arbor Hill 2019,True
Adair County,2020.0,60.4,Arbor Hill 2019,True
Adair County,2020.0,60.4,Arbor Hill 2019,True
Adair County,2020.0,60.4,Arbor Hill 2019,True
Adair County,2020.0,60.4,Arbor Hill 2019,True
Adair County,2020.0,60.4,Arbor Hill 2019,True
Adair County,2020.0,60.4,Arbor Hill 2019,True
Adair County,2020.0,60.4,Arbor Hill 2019,True
Adair County,2020.0,60.4,Arbor Hill 2019,True
Adair County,2020.0,60.4,Arbor Hill 2019,True
Taylor County,2017.0,1.79,August Wind Energy LLC,False
Worth County,2009.0,160.0,Barton,False
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Worth County,2009.0,160.0,Barton,True
Boone County,2017.0,170.0,Beaver Creek,False
